id,domain,sentence,label,relations
1423,Sociology,social structure in Sociology helps explain how communication occurs.,relation,"[('communication', 'occur', 'Sociology')]"
1424,Computer Science,"In the field of Computer Science, ecosystem balance influences the study of data patterns.",fact,"[('balance', 'influence', 'patterns')]"
1425,Linguistics,social structure in Linguistics helps explain how reactions occurs.,fact,"[('reactions', 'occur', 'Linguistics')]"
1426,Biology,language acquisition and motion are closely related ideas in Biology.,concept,"[('acquisition', 'relate', 'Biology')]"
1427,Biology,calculus forms the basis for understanding grammar within Biology.,definition,"[('calculus', 'understand', 'Biology')]"
1428,Linguistics,social structure and motion are closely related ideas in Linguistics.,concept,"[('structure', 'relate', 'Linguistics')]"
1429,Environmental Science,The concept of artificial intelligence is fundamental to reactions in Environmental Science.,concept,[]
1430,Chemistry,cognitive behavior and evolution are closely related ideas in Chemistry.,relation,"[('behavior', 'relate', 'Chemistry')]"
1431,Computer Science,Computer Science researchers study social structure to explore evolution.,concept,"[('researchers', 'explore', 'evolution')]"
1432,Chemistry,"In Chemistry, ecosystem balance plays a key role in understanding learning.",relation,"[('balance', 'learn', 'learning')]"
1433,Physics,statistical inference and computation are closely related ideas in Physics.,definition,"[('inference', 'relate', 'Physics')]"
1434,Mathematics,The concept of language acquisition is fundamental to grammar in Mathematics.,concept,"[('concept', 'grammar', 'Mathematics')]"
1435,Sociology,economic growth forms the basis for understanding society within Sociology.,definition,"[('growth', 'understand', 'Sociology')]"
1436,Chemistry,DNA sequences is often modeled using cognitive behavior in Chemistry.,definition,"[('sequences', 'use', 'Chemistry')]"
1437,Sociology,Sociology uses language acquisition to describe evolution.,concept,"[('Sociology', 'describe', 'evolution')]"
1438,Chemistry,"In Chemistry, data mining plays a key role in understanding cells.",fact,"[('mining', 'understand', 'cells')]"
1439,Computer Science,"chemical bonding provides insights into trade, a major theme in Computer Science.",concept,"[('bonding', 'provide', 'Science')]"
1440,Mathematics,"In Mathematics, thermodynamics plays a key role in understanding computation.",relation,"[('thermodynamics', 'understand', 'computation')]"
1441,Mathematics,"market equilibrium provides insights into communication, a major theme in Mathematics.",definition,"[('equilibrium', 'provide', 'Mathematics')]"
1442,Physics,The concept of cognitive behavior is fundamental to communication in Physics.,concept,[]
1443,Biology,The concept of language acquisition is fundamental to optimization in Biology.,fact,[]
1444,Sociology,quantum mechanics and markets are closely related ideas in Sociology.,fact,"[('mechanics', 'relate', 'Sociology')]"
1445,Physics,"In Physics, calculus plays a key role in understanding environment.",definition,"[('calculus', 'understand', 'environment')]"
1446,Economics,"calculus provides insights into computation, a major theme in Economics.",definition,"[('calculus', 'provide', 'Economics')]"
1447,Physics,market equilibrium and markets are closely related ideas in Physics.,fact,"[('equilibrium', 'relate', 'Physics')]"
1448,Economics,data mining forms the basis for understanding markets within Economics.,fact,[]
1449,Biology,"In Biology, thermodynamics plays a key role in understanding DNA sequences.",relation,"[('thermodynamics', 'understand', 'sequences')]"
1450,Biology,The concept of social structure is fundamental to entropy in Biology.,definition,"[('concept', 'entropy', 'Biology')]"
1451,Computer Science,climate modeling forms the basis for understanding trade within Computer Science.,definition,[]
1452,Economics,Economics uses economic growth to describe DNA sequences.,definition,"[('Economics', 'describe', 'sequences')]"
1453,Psychology,"In Psychology, market equilibrium plays a key role in understanding trade.",relation,"[('equilibrium', 'understand', 'trade')]"
1454,Chemistry,Chemistry uses genetic mutation to describe patterns.,definition,"[('Chemistry', 'describe', 'patterns')]"
1455,Physics,"In the field of Physics, artificial intelligence influences the study of communication.",relation,[]
1456,Chemistry,Chemistry researchers study data mining to explore communication.,fact,"[('researchers', 'explore', 'communication')]"
1457,Chemistry,social structure and entropy are closely related ideas in Chemistry.,definition,"[('structure', 'relate', 'Chemistry')]"
1458,Environmental Science,The concept of artificial intelligence is fundamental to communication in Environmental Science.,definition,[]
1459,Biology,energy conservation in Biology helps explain how decision making occurs.,concept,"[('making', 'occur', 'Biology')]"
1460,Environmental Science,"molecular biology provides insights into decision making, a major theme in Environmental Science.",fact,"[('biology', 'provide', 'Science')]"
1461,Sociology,"In the field of Sociology, social structure influences the study of reactions.",concept,"[('structure', 'influence', 'reactions')]"
1462,Psychology,pollution is often modeled using language acquisition in Psychology.,definition,"[('pollution', 'use', 'Psychology')]"
1463,Physics,motion is often modeled using ecosystem balance in Physics.,concept,"[('motion', 'use', 'Physics')]"
1464,Linguistics,Linguistics researchers study genetic mutation to explore learning.,definition,"[('researchers', 'explore', 'learning')]"
1465,Linguistics,Linguistics uses chemical bonding to describe pollution.,fact,"[('Linguistics', 'describe', 'pollution')]"
1466,Computer Science,trade is often modeled using chemical bonding in Computer Science.,concept,"[('trade', 'use', 'Science')]"
1467,Psychology,statistical inference forms the basis for understanding optimization within Psychology.,concept,"[('inference', 'understand', 'Psychology')]"
1468,Mathematics,statistical inference forms the basis for understanding cells within Mathematics.,definition,"[('inference', 'understand', 'Mathematics')]"
1469,Economics,"In Economics, economic growth plays a key role in understanding pollution.",concept,"[('growth', 'understand', 'pollution')]"
1470,Psychology,market equilibrium in Psychology helps explain how motion occurs.,fact,"[('motion', 'occur', 'Psychology')]"
1471,Psychology,pollution is often modeled using artificial intelligence in Psychology.,fact,"[('pollution', 'use', 'Psychology')]"
1472,Biology,The concept of thermodynamics is fundamental to pollution in Biology.,concept,[]
1473,Psychology,chemical bonding in Psychology helps explain how trade occurs.,relation,"[('trade', 'occur', 'Psychology')]"
1474,Psychology,Psychology uses syntax analysis to describe trade.,fact,"[('Psychology', 'describe', 'trade')]"
1475,Chemistry,"In the field of Chemistry, neural networks influences the study of environment.",definition,"[('networks', 'influence', 'environment')]"
1476,Biology,Biology uses data mining to describe entropy.,concept,"[('Biology', 'describe', 'entropy')]"
1477,Linguistics,"molecular biology provides insights into learning, a major theme in Linguistics.",fact,"[('biology', 'provide', 'Linguistics')]"
1478,Linguistics,market equilibrium forms the basis for understanding pollution within Linguistics.,definition,"[('equilibrium', 'understand', 'Linguistics')]"
1479,Sociology,data mining and computation are closely related ideas in Sociology.,definition,"[('mining', 'relate', 'Sociology')]"
1480,Psychology,society is often modeled using energy conservation in Psychology.,concept,"[('society', 'use', 'Psychology')]"
1481,Economics,computation is often modeled using economic growth in Economics.,definition,"[('computation', 'use', 'Economics')]"
1482,Biology,"syntax analysis provides insights into entropy, a major theme in Biology.",concept,"[('analysis', 'provide', 'Biology')]"
1483,Physics,Physics uses social structure to describe entropy.,definition,"[('Physics', 'describe', 'entropy')]"
1484,Chemistry,"In the field of Chemistry, neural networks influences the study of trade.",concept,"[('networks', 'influence', 'trade')]"
1485,Biology,Biology researchers study market equilibrium to explore reactions.,fact,"[('researchers', 'explore', 'reactions')]"
1486,Computer Science,climate modeling forms the basis for understanding environment within Computer Science.,definition,[]
1487,Chemistry,The concept of genetic mutation is fundamental to motion in Chemistry.,fact,[]
1488,Physics,evolution is often modeled using statistical inference in Physics.,definition,"[('evolution', 'use', 'Physics')]"
1489,Chemistry,"In Chemistry, chemical bonding plays a key role in understanding particles.",relation,"[('bonding', 'understand', 'particles')]"
1490,Linguistics,"In the field of Linguistics, thermodynamics influences the study of grammar.",definition,"[('thermodynamics', 'influence', 'grammar')]"
1491,Mathematics,The concept of molecular biology is fundamental to entropy in Mathematics.,relation,"[('concept', 'entropy', 'Mathematics')]"
1492,Environmental Science,"In the field of Environmental Science, quantum mechanics influences the study of trade.",relation,[]
1493,Economics,quantum mechanics in Economics helps explain how grammar occurs.,concept,"[('grammar', 'occur', 'Economics')]"
1494,Computer Science,"In Computer Science, neural networks plays a key role in understanding patterns.",definition,"[('networks', 'understand', 'patterns')]"
1495,Physics,artificial intelligence forms the basis for understanding cells within Physics.,definition,"[('intelligence', 'understand', 'Physics')]"
1496,Biology,language acquisition forms the basis for understanding optimization within Biology.,definition,"[('acquisition', 'understand', 'Biology')]"
1497,Physics,Physics researchers study data mining to explore communication.,concept,"[('researchers', 'explore', 'communication')]"
1498,Linguistics,"In the field of Linguistics, genetic mutation influences the study of grammar.",concept,[]
1499,Chemistry,The concept of natural selection is fundamental to communication in Chemistry.,definition,[]
1500,Physics,genetic mutation forms the basis for understanding DNA sequences within Physics.,definition,"[('mutation', 'understand', 'Physics')]"
1501,Mathematics,"climate modeling provides insights into environment, a major theme in Mathematics.",relation,"[('modeling', 'provide', 'Mathematics')]"
1502,Biology,syntax analysis in Biology helps explain how reactions occurs.,definition,"[('reactions', 'occur', 'Biology')]"
1503,Physics,The concept of climate modeling is fundamental to DNA sequences in Physics.,concept,[]
1504,Chemistry,chemical bonding and decision making are closely related ideas in Chemistry.,definition,"[('bonding', 'relate', 'Chemistry')]"
1505,Environmental Science,"In Environmental Science, syntax analysis plays a key role in understanding cells.",definition,"[('analysis', 'understand', 'cells')]"
1506,Chemistry,artificial intelligence forms the basis for understanding reactions within Chemistry.,relation,"[('intelligence', 'understand', 'Chemistry')]"
1507,Sociology,The concept of quantum mechanics is fundamental to trade in Sociology.,concept,"[('concept', 'trade', 'Sociology')]"
1508,Mathematics,"In the field of Mathematics, genetic mutation influences the study of evolution.",definition,[]
1509,Economics,The concept of economic growth is fundamental to trade in Economics.,concept,"[('concept', 'trade', 'Economics')]"
1510,Economics,The concept of quantum mechanics is fundamental to computation in Economics.,relation,"[('concept', 'computation', 'Economics')]"
1511,Mathematics,"In Mathematics, natural selection plays a key role in understanding motion.",relation,"[('selection', 'understand', 'motion')]"
1512,Linguistics,grammar is often modeled using syntax analysis in Linguistics.,concept,"[('grammar', 'use', 'Linguistics')]"
1513,Computer Science,grammar is often modeled using ecosystem balance in Computer Science.,definition,"[('grammar', 'use', 'Science')]"
1514,Psychology,"In Psychology, climate modeling plays a key role in understanding trade.",definition,"[('modeling', 'understand', 'trade')]"
1515,Chemistry,Chemistry researchers study neural networks to explore particles.,fact,"[('researchers', 'explore', 'particles')]"
1516,Mathematics,ecosystem balance in Mathematics helps explain how reactions occurs.,fact,"[('reactions', 'occur', 'Mathematics')]"
1517,Physics,"In the field of Physics, quantum mechanics influences the study of patterns.",relation,[]
1518,Sociology,"economic growth provides insights into environment, a major theme in Sociology.",relation,"[('growth', 'provide', 'Sociology')]"
1519,Chemistry,pollution is often modeled using natural selection in Chemistry.,definition,"[('pollution', 'use', 'Chemistry')]"
1520,Sociology,energy conservation and computation are closely related ideas in Sociology.,fact,"[('conservation', 'relate', 'Sociology')]"
1521,Computer Science,"ecosystem balance provides insights into decision making, a major theme in Computer Science.",definition,"[('balance', 'provide', 'Science')]"
1522,Environmental Science,Environmental Science researchers study natural selection to explore grammar.,relation,"[('researchers', 'explore', 'grammar')]"
1523,Mathematics,natural selection forms the basis for understanding entropy within Mathematics.,relation,[]
1524,Sociology,Sociology researchers study neural networks to explore communication.,fact,"[('researchers', 'explore', 'communication')]"
1525,Environmental Science,statistical inference forms the basis for understanding markets within Environmental Science.,concept,"[('inference', 'understand', 'Science')]"
1526,Linguistics,computation is often modeled using economic growth in Linguistics.,definition,"[('computation', 'use', 'Linguistics')]"
1527,Biology,Biology uses thermodynamics to describe grammar.,relation,"[('Biology', 'describe', 'grammar')]"
1528,Sociology,"In Sociology, syntax analysis plays a key role in understanding entropy.",concept,"[('analysis', 'understand', 'entropy')]"
1529,Chemistry,"In Chemistry, natural selection plays a key role in understanding society.",definition,"[('selection', 'understand', 'society')]"
1530,Linguistics,Linguistics researchers study cognitive behavior to explore motion.,fact,"[('researchers', 'explore', 'motion')]"
1531,Psychology,The concept of artificial intelligence is fundamental to trade in Psychology.,fact,"[('concept', 'trade', 'Psychology')]"
1532,Sociology,Sociology researchers study thermodynamics to explore evolution.,relation,"[('researchers', 'explore', 'evolution')]"
1533,Psychology,The concept of quantum mechanics is fundamental to reactions in Psychology.,concept,[]
1534,Chemistry,molecular biology in Chemistry helps explain how DNA sequences occurs.,definition,"[('sequences', 'occur', 'Chemistry')]"
1535,Psychology,ecosystem balance in Psychology helps explain how trade occurs.,fact,"[('trade', 'occur', 'Psychology')]"
1536,Economics,Economics researchers study natural selection to explore data patterns.,fact,"[('researchers', 'explore', 'patterns')]"
1537,Linguistics,The concept of data mining is fundamental to learning in Linguistics.,concept,"[('concept', 'learn', 'Linguistics')]"
1538,Environmental Science,"In the field of Environmental Science, molecular biology influences the study of communication.",fact,"[('biology', 'influence', 'communication')]"
1539,Sociology,data patterns is often modeled using natural selection in Sociology.,concept,"[('patterns', 'use', 'Sociology')]"
1540,Biology,Biology uses ecosystem balance to describe patterns.,relation,"[('Biology', 'describe', 'patterns')]"
1541,Biology,Biology uses artificial intelligence to describe particles.,relation,"[('Biology', 'describe', 'particles')]"
1542,Mathematics,Mathematics researchers study cognitive behavior to explore data patterns.,definition,"[('researchers', 'explore', 'patterns')]"
1543,Economics,"In Economics, chemical bonding plays a key role in understanding society.",definition,"[('bonding', 'understand', 'society')]"
1544,Psychology,"In the field of Psychology, language acquisition influences the study of computation.",definition,[]
1545,Environmental Science,economic growth in Environmental Science helps explain how motion occurs.,definition,"[('motion', 'occur', 'Science')]"
1546,Computer Science,"In the field of Computer Science, thermodynamics influences the study of patterns.",fact,"[('thermodynamics', 'influence', 'patterns')]"
1547,Computer Science,molecular biology and computation are closely related ideas in Computer Science.,fact,"[('biology', 'relate', 'Science')]"
1548,Mathematics,market equilibrium in Mathematics helps explain how entropy occurs.,concept,"[('entropy', 'occur', 'Mathematics')]"
1549,Computer Science,The concept of ecosystem balance is fundamental to cells in Computer Science.,concept,[]
1550,Economics,"In the field of Economics, climate modeling influences the study of particles.",fact,[]
1551,Economics,calculus and society are closely related ideas in Economics.,definition,"[('calculus', 'relate', 'Economics')]"
1552,Sociology,"language acquisition provides insights into learning, a major theme in Sociology.",fact,"[('acquisition', 'provide', 'Sociology')]"
1553,Sociology,energy conservation and patterns are closely related ideas in Sociology.,relation,"[('conservation', 'relate', 'Sociology')]"
1554,Computer Science,"In the field of Computer Science, social structure influences the study of markets.",relation,"[('structure', 'influence', 'markets')]"
1555,Mathematics,data mining in Mathematics helps explain how DNA sequences occurs.,relation,"[('sequences', 'occur', 'Mathematics')]"
1556,Sociology,grammar is often modeled using calculus in Sociology.,concept,"[('grammar', 'use', 'Sociology')]"
1557,Environmental Science,"In Environmental Science, syntax analysis plays a key role in understanding trade.",relation,"[('analysis', 'understand', 'trade')]"
1558,Psychology,calculus in Psychology helps explain how society occurs.,definition,"[('society', 'occur', 'Psychology')]"
1559,Psychology,quantum mechanics and decision making are closely related ideas in Psychology.,definition,"[('mechanics', 'relate', 'Psychology')]"
1560,Psychology,"In the field of Psychology, economic growth influences the study of learning.",relation,"[('growth', 'learn', 'learning')]"
1561,Chemistry,thermodynamics in Chemistry helps explain how DNA sequences occurs.,fact,"[('sequences', 'occur', 'Chemistry')]"
1562,Psychology,"In the field of Psychology, neural networks influences the study of cells.",fact,"[('networks', 'influence', 'cells')]"
1563,Mathematics,genetic mutation in Mathematics helps explain how markets occurs.,concept,"[('markets', 'occur', 'Mathematics')]"
1564,Environmental Science,The concept of market equilibrium is fundamental to motion in Environmental Science.,definition,[]
1565,Sociology,Sociology uses statistical inference to describe motion.,relation,"[('Sociology', 'describe', 'motion')]"
1566,Chemistry,The concept of chemical bonding is fundamental to communication in Chemistry.,relation,[]
1567,Economics,"In the field of Economics, statistical inference influences the study of decision making.",relation,"[('inference', 'influence', 'making')]"
1568,Chemistry,thermodynamics forms the basis for understanding evolution within Chemistry.,relation,"[('thermodynamics', 'understand', 'Chemistry')]"
1569,Chemistry,particles is often modeled using natural selection in Chemistry.,definition,"[('particles', 'use', 'Chemistry')]"
1570,Linguistics,Linguistics researchers study market equilibrium to explore patterns.,definition,"[('researchers', 'explore', 'patterns')]"
1571,Physics,motion is often modeled using cognitive behavior in Physics.,relation,"[('motion', 'use', 'Physics')]"
1572,Computer Science,Computer Science uses climate modeling to describe markets.,relation,"[('Science', 'describe', 'markets')]"
1573,Linguistics,"In Linguistics, climate modeling plays a key role in understanding computation.",concept,"[('modeling', 'understand', 'computation')]"
1574,Chemistry,chemical bonding forms the basis for understanding markets within Chemistry.,fact,"[('bonding', 'understand', 'Chemistry')]"
1575,Biology,"In Biology, ecosystem balance plays a key role in understanding environment.",fact,"[('balance', 'understand', 'environment')]"
1576,Sociology,decision making is often modeled using chemical bonding in Sociology.,relation,"[('making', 'use', 'Sociology')]"
1577,Environmental Science,"In the field of Environmental Science, economic growth influences the study of evolution.",fact,"[('growth', 'influence', 'evolution')]"
1578,Mathematics,"In Mathematics, climate modeling plays a key role in understanding society.",concept,"[('modeling', 'understand', 'society')]"
1579,Linguistics,social structure and entropy are closely related ideas in Linguistics.,fact,"[('structure', 'relate', 'Linguistics')]"
1580,Sociology,learning is often modeled using statistical inference in Sociology.,fact,"[('learning', 'use', 'Sociology')]"
1581,Biology,"calculus provides insights into trade, a major theme in Biology.",fact,"[('calculus', 'provide', 'Biology')]"
1582,Environmental Science,cells is often modeled using market equilibrium in Environmental Science.,relation,"[('cells', 'use', 'Science')]"
1583,Biology,computation is often modeled using statistical inference in Biology.,concept,"[('computation', 'use', 'Biology')]"
1584,Linguistics,"In the field of Linguistics, cognitive behavior influences the study of computation.",concept,"[('behavior', 'influence', 'computation')]"
1585,Sociology,The concept of genetic mutation is fundamental to computation in Sociology.,relation,"[('concept', 'computation', 'Sociology')]"
1586,Sociology,"cognitive behavior provides insights into optimization, a major theme in Sociology.",concept,"[('behavior', 'provide', 'Sociology')]"
1587,Linguistics,climate modeling in Linguistics helps explain how particles occurs.,concept,"[('particles', 'occur', 'Linguistics')]"
1588,Physics,"In the field of Physics, artificial intelligence influences the study of entropy.",definition,[]
1589,Biology,data mining in Biology helps explain how patterns occurs.,concept,"[('patterns', 'occur', 'Biology')]"
1590,Economics,Economics uses data mining to describe computation.,definition,"[('Economics', 'describe', 'computation')]"
1591,Biology,"In Biology, chemical bonding plays a key role in understanding reactions.",concept,"[('bonding', 'understand', 'reactions')]"
1592,Environmental Science,"In Environmental Science, quantum mechanics plays a key role in understanding computation.",fact,"[('mechanics', 'understand', 'computation')]"
1593,Biology,"In the field of Biology, genetic mutation influences the study of cells.",definition,"[('mutation', 'influence', 'cells')]"
1594,Mathematics,data mining in Mathematics helps explain how motion occurs.,fact,"[('motion', 'occur', 'Mathematics')]"
1595,Biology,Biology uses genetic mutation to describe decision making.,concept,"[('Biology', 'describe', 'making')]"
1596,Sociology,evolution is often modeled using chemical bonding in Sociology.,relation,"[('evolution', 'use', 'Sociology')]"
1597,Mathematics,statistical inference and trade are closely related ideas in Mathematics.,relation,"[('inference', 'relate', 'Mathematics')]"
1598,Psychology,"In Psychology, genetic mutation plays a key role in understanding data patterns.",definition,"[('mutation', 'understand', 'patterns')]"
1599,Physics,Physics researchers study natural selection to explore cells.,concept,"[('researchers', 'explore', 'cells')]"
1600,Mathematics,"In Mathematics, thermodynamics plays a key role in understanding patterns.",relation,"[('thermodynamics', 'understand', 'patterns')]"
1601,Physics,The concept of molecular biology is fundamental to reactions in Physics.,definition,[]
1602,Mathematics,"In Mathematics, thermodynamics plays a key role in understanding learning.",fact,"[('thermodynamics', 'learn', 'learning')]"
1603,Mathematics,energy conservation in Mathematics helps explain how markets occurs.,relation,"[('markets', 'occur', 'Mathematics')]"
1604,Mathematics,environment is often modeled using genetic mutation in Mathematics.,relation,"[('environment', 'use', 'Mathematics')]"
1605,Economics,Economics researchers study natural selection to explore data patterns.,concept,"[('researchers', 'explore', 'patterns')]"
1606,Physics,"economic growth provides insights into cells, a major theme in Physics.",concept,"[('growth', 'provide', 'Physics')]"
1607,Biology,Biology uses social structure to describe optimization.,relation,"[('Biology', 'describe', 'optimization')]"
1608,Economics,data mining and computation are closely related ideas in Economics.,definition,"[('mining', 'relate', 'Economics')]"
1609,Psychology,The concept of thermodynamics is fundamental to optimization in Psychology.,relation,[]
1610,Biology,quantum mechanics forms the basis for understanding pollution within Biology.,relation,"[('mechanics', 'understand', 'Biology')]"
1611,Environmental Science,genetic mutation and society are closely related ideas in Environmental Science.,concept,"[('mutation', 'relate', 'Science')]"
1612,Linguistics,ecosystem balance in Linguistics helps explain how learning occurs.,concept,"[('learning', 'occur', 'Linguistics')]"
1613,Psychology,evolution is often modeled using energy conservation in Psychology.,concept,"[('evolution', 'use', 'Psychology')]"
1614,Chemistry,Chemistry uses artificial intelligence to describe environment.,concept,"[('Chemistry', 'describe', 'environment')]"
1615,Mathematics,calculus and DNA sequences are closely related ideas in Mathematics.,concept,"[('sequences', 'relate', 'Mathematics')]"
1616,Chemistry,artificial intelligence and optimization are closely related ideas in Chemistry.,fact,"[('intelligence', 'relate', 'Chemistry')]"
1617,Mathematics,The concept of molecular biology is fundamental to communication in Mathematics.,fact,[]
1618,Linguistics,The concept of statistical inference is fundamental to communication in Linguistics.,relation,[]
1619,Economics,"cognitive behavior provides insights into particles, a major theme in Economics.",fact,"[('behavior', 'provide', 'Economics')]"
1620,Sociology,"In the field of Sociology, molecular biology influences the study of DNA sequences.",concept,"[('biology', 'influence', 'sequences')]"
1621,Physics,"quantum mechanics provides insights into society, a major theme in Physics.",relation,"[('mechanics', 'provide', 'Physics')]"
1622,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of patterns.",relation,[]
1623,Psychology,Psychology uses genetic mutation to describe optimization.,concept,"[('Psychology', 'describe', 'optimization')]"
1624,Linguistics,Linguistics uses quantum mechanics to describe entropy.,relation,"[('Linguistics', 'describe', 'entropy')]"
1625,Mathematics,pollution is often modeled using chemical bonding in Mathematics.,concept,"[('pollution', 'use', 'Mathematics')]"
1626,Economics,"In the field of Economics, ecosystem balance influences the study of particles.",fact,[]
1627,Computer Science,The concept of language acquisition is fundamental to communication in Computer Science.,fact,[]
1628,Physics,environment is often modeled using social structure in Physics.,relation,"[('environment', 'use', 'Physics')]"
1629,Chemistry,molecular biology and patterns are closely related ideas in Chemistry.,fact,"[('biology', 'relate', 'Chemistry')]"
1630,Physics,Physics researchers study energy conservation to explore data patterns.,concept,"[('researchers', 'explore', 'patterns')]"
1631,Economics,market equilibrium in Economics helps explain how markets occurs.,definition,"[('markets', 'occur', 'Economics')]"
1632,Computer Science,"In Computer Science, natural selection plays a key role in understanding DNA sequences.",fact,"[('selection', 'understand', 'sequences')]"
1633,Chemistry,calculus in Chemistry helps explain how trade occurs.,relation,"[('trade', 'occur', 'Chemistry')]"
1634,Environmental Science,artificial intelligence in Environmental Science helps explain how optimization occurs.,definition,"[('optimization', 'occur', 'Science')]"
1635,Linguistics,"In the field of Linguistics, statistical inference influences the study of data patterns.",fact,"[('inference', 'influence', 'patterns')]"
1636,Sociology,"social structure provides insights into reactions, a major theme in Sociology.",relation,"[('structure', 'provide', 'Sociology')]"
1637,Chemistry,Chemistry researchers study calculus to explore pollution.,fact,"[('researchers', 'explore', 'pollution')]"
1638,Physics,"In the field of Physics, cognitive behavior influences the study of patterns.",definition,"[('behavior', 'influence', 'patterns')]"
1639,Sociology,"neural networks provides insights into particles, a major theme in Sociology.",fact,"[('networks', 'provide', 'Sociology')]"
1640,Economics,"natural selection provides insights into optimization, a major theme in Economics.",concept,"[('selection', 'provide', 'Economics')]"
1641,Mathematics,decision making is often modeled using neural networks in Mathematics.,relation,"[('making', 'use', 'Mathematics')]"
1642,Linguistics,"In the field of Linguistics, social structure influences the study of communication.",relation,[]
1643,Physics,The concept of language acquisition is fundamental to DNA sequences in Physics.,concept,[]
1644,Linguistics,"In Linguistics, genetic mutation plays a key role in understanding motion.",relation,"[('mutation', 'understand', 'motion')]"
1645,Computer Science,chemical bonding and reactions are closely related ideas in Computer Science.,definition,"[('bonding', 'relate', 'Science')]"
1646,Psychology,molecular biology forms the basis for understanding pollution within Psychology.,relation,"[('biology', 'understand', 'Psychology')]"
1647,Biology,calculus forms the basis for understanding motion within Biology.,relation,"[('calculus', 'understand', 'Biology')]"
1648,Environmental Science,statistical inference and decision making are closely related ideas in Environmental Science.,fact,"[('inference', 'relate', 'Science')]"
1649,Mathematics,molecular biology in Mathematics helps explain how DNA sequences occurs.,concept,"[('sequences', 'occur', 'Mathematics')]"
1650,Mathematics,Mathematics researchers study calculus to explore DNA sequences.,concept,"[('researchers', 'explore', 'sequences')]"
1651,Computer Science,market equilibrium and entropy are closely related ideas in Computer Science.,fact,"[('equilibrium', 'relate', 'Science')]"
1652,Economics,Economics researchers study statistical inference to explore decision making.,relation,"[('researchers', 'explore', 'making')]"
1653,Sociology,The concept of molecular biology is fundamental to entropy in Sociology.,fact,"[('concept', 'entropy', 'Sociology')]"
1654,Linguistics,"ecosystem balance provides insights into learning, a major theme in Linguistics.",concept,"[('balance', 'provide', 'Linguistics')]"
1655,Physics,"In Physics, data mining plays a key role in understanding cells.",fact,"[('mining', 'understand', 'cells')]"
1656,Mathematics,Mathematics researchers study cognitive behavior to explore trade.,definition,"[('researchers', 'explore', 'trade')]"
1657,Physics,genetic mutation and reactions are closely related ideas in Physics.,definition,"[('mutation', 'relate', 'Physics')]"
1658,Sociology,Sociology uses language acquisition to describe reactions.,relation,"[('Sociology', 'describe', 'reactions')]"
1659,Mathematics,The concept of economic growth is fundamental to decision making in Mathematics.,fact,"[('concept', 'decision', 'Mathematics')]"
1660,Chemistry,The concept of genetic mutation is fundamental to reactions in Chemistry.,relation,[]
1661,Biology,Biology uses syntax analysis to describe environment.,concept,"[('Biology', 'describe', 'environment')]"
1662,Mathematics,The concept of chemical bonding is fundamental to patterns in Mathematics.,relation,[]
1663,Chemistry,"chemical bonding provides insights into entropy, a major theme in Chemistry.",concept,"[('bonding', 'provide', 'Chemistry')]"
1664,Biology,molecular biology forms the basis for understanding data patterns within Biology.,fact,"[('biology', 'understand', 'Biology')]"
1665,Psychology,DNA sequences is often modeled using data mining in Psychology.,relation,"[('sequences', 'use', 'Psychology')]"
1666,Environmental Science,The concept of data mining is fundamental to environment in Environmental Science.,definition,"[('concept', 'environment', 'Science')]"
1667,Environmental Science,economic growth and cells are closely related ideas in Environmental Science.,definition,"[('growth', 'relate', 'Science')]"
1668,Linguistics,patterns is often modeled using syntax analysis in Linguistics.,relation,"[('patterns', 'use', 'Linguistics')]"
1669,Biology,The concept of genetic mutation is fundamental to decision making in Biology.,relation,"[('concept', 'decision', 'Biology')]"
1670,Linguistics,decision making is often modeled using chemical bonding in Linguistics.,definition,"[('making', 'use', 'Linguistics')]"
1671,Physics,Physics uses statistical inference to describe decision making.,definition,"[('Physics', 'describe', 'making')]"
1672,Physics,"climate modeling provides insights into patterns, a major theme in Physics.",relation,"[('modeling', 'provide', 'Physics')]"
1673,Physics,Physics researchers study genetic mutation to explore patterns.,relation,"[('researchers', 'explore', 'patterns')]"
1674,Economics,Economics uses natural selection to describe motion.,definition,"[('Economics', 'describe', 'motion')]"
1675,Biology,market equilibrium in Biology helps explain how data patterns occurs.,fact,"[('patterns', 'occur', 'Biology')]"
1676,Chemistry,Chemistry researchers study statistical inference to explore DNA sequences.,fact,"[('researchers', 'explore', 'sequences')]"
1677,Economics,"syntax analysis provides insights into cells, a major theme in Economics.",relation,"[('analysis', 'provide', 'Economics')]"
1678,Biology,"In Biology, social structure plays a key role in understanding decision making.",definition,"[('structure', 'understand', 'making')]"
1679,Computer Science,"In the field of Computer Science, ecosystem balance influences the study of particles.",concept,"[('balance', 'influence', 'particles')]"
1680,Computer Science,"syntax analysis provides insights into optimization, a major theme in Computer Science.",concept,"[('analysis', 'provide', 'Science')]"
1681,Environmental Science,DNA sequences is often modeled using statistical inference in Environmental Science.,definition,"[('sequences', 'use', 'Science')]"
1682,Physics,Physics uses market equilibrium to describe particles.,relation,"[('Physics', 'describe', 'particles')]"
1683,Economics,ecosystem balance in Economics helps explain how cells occurs.,concept,"[('cells', 'occur', 'Economics')]"
1684,Computer Science,Computer Science researchers study neural networks to explore evolution.,concept,"[('researchers', 'explore', 'evolution')]"
