id,domain,sentence,label,entities
1019,Economics,Economics uses quantum mechanics to describe patterns.,fact,[]
1020,Psychology,The concept of climate modeling is fundamental to particles in Psychology.,fact,[]
1021,Environmental Science,artificial intelligence and markets are closely related ideas in Environmental Science.,definition,[]
1022,Sociology,"In the field of Sociology, climate modeling influences the study of communication.",definition,[]
1023,Chemistry,chemical bonding forms the basis for understanding society within Chemistry.,definition,"[('Chemistry', 'ORG')]"
1024,Chemistry,"In the field of Chemistry, economic growth influences the study of particles.",concept,"[('Chemistry', 'ORG')]"
1025,Economics,Economics researchers study climate modeling to explore cells.,fact,[]
1026,Mathematics,"In Mathematics, data mining plays a key role in understanding patterns.",concept,[]
1027,Sociology,social structure and reactions are closely related ideas in Sociology.,relation,[]
1028,Linguistics,"ecosystem balance provides insights into entropy, a major theme in Linguistics.",concept,"[('Linguistics', 'GPE')]"
1029,Computer Science,The concept of language acquisition is fundamental to environment in Computer Science.,relation,"[('Computer Science', 'ORG')]"
1030,Mathematics,entropy is often modeled using ecosystem balance in Mathematics.,definition,"[('Mathematics', 'LOC')]"
1031,Chemistry,computation is often modeled using ecosystem balance in Chemistry.,relation,"[('Chemistry', 'ORG')]"
1032,Linguistics,The concept of economic growth is fundamental to pollution in Linguistics.,concept,"[('Linguistics', 'GPE')]"
1033,Sociology,"In the field of Sociology, natural selection influences the study of pollution.",concept,[]
1034,Linguistics,Linguistics researchers study neural networks to explore data patterns.,fact,[]
1035,Environmental Science,ecosystem balance forms the basis for understanding learning within Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
1036,Economics,"genetic mutation provides insights into DNA sequences, a major theme in Economics.",relation,"[('Economics', 'GPE')]"
1037,Linguistics,"In the field of Linguistics, genetic mutation influences the study of communication.",fact,"[('Linguistics', 'GPE')]"
1038,Biology,The concept of artificial intelligence is fundamental to reactions in Biology.,concept,"[('Biology', 'LOC')]"
1039,Mathematics,The concept of molecular biology is fundamental to society in Mathematics.,relation,"[('Mathematics', 'LOC')]"
1040,Sociology,"In Sociology, climate modeling plays a key role in understanding motion.",concept,[]
1041,Psychology,Psychology uses calculus to describe communication.,relation,[]
1042,Psychology,"In the field of Psychology, data mining influences the study of motion.",relation,[]
1043,Economics,statistical inference forms the basis for understanding pollution within Economics.,fact,"[('Economics', 'ORG')]"
1044,Physics,climate modeling in Physics helps explain how optimization occurs.,relation,"[('Physics', 'ORG')]"
1045,Psychology,artificial intelligence forms the basis for understanding optimization within Psychology.,definition,[]
1046,Environmental Science,Environmental Science researchers study artificial intelligence to explore environment.,concept,[]
1047,Biology,learning is often modeled using thermodynamics in Biology.,definition,"[('Biology', 'LOC')]"
1048,Sociology,The concept of social structure is fundamental to DNA sequences in Sociology.,relation,[]
1049,Biology,optimization is often modeled using energy conservation in Biology.,concept,"[('Biology', 'LOC')]"
1050,Physics,Physics researchers study neural networks to explore patterns.,definition,[]
1051,Biology,Biology uses ecosystem balance to describe computation.,concept,[]
1052,Biology,evolution is often modeled using thermodynamics in Biology.,definition,"[('Biology', 'LOC')]"
1053,Biology,"In Biology, climate modeling plays a key role in understanding cells.",concept,[]
1054,Linguistics,Linguistics uses social structure to describe computation.,relation,[]
1055,Mathematics,cells is often modeled using market equilibrium in Mathematics.,definition,"[('Mathematics', 'LOC')]"
1056,Biology,"In Biology, ecosystem balance plays a key role in understanding grammar.",concept,[]
1057,Mathematics,language acquisition in Mathematics helps explain how reactions occurs.,fact,"[('Mathematics', 'NORP')]"
1058,Computer Science,cognitive behavior forms the basis for understanding computation within Computer Science.,concept,"[('Computer Science', 'ORG')]"
1059,Environmental Science,"In the field of Environmental Science, molecular biology influences the study of grammar.",fact,[]
1060,Environmental Science,"statistical inference provides insights into particles, a major theme in Environmental Science.",concept,"[('Environmental Science', 'ORG')]"
1061,Physics,Physics uses data mining to describe society.,concept,"[('Physics', 'ORG')]"
1062,Chemistry,The concept of artificial intelligence is fundamental to entropy in Chemistry.,definition,"[('Chemistry', 'GPE')]"
1063,Sociology,"social structure provides insights into particles, a major theme in Sociology.",concept,[]
1064,Biology,climate modeling and optimization are closely related ideas in Biology.,definition,"[('Biology', 'LOC')]"
1065,Biology,evolution is often modeled using genetic mutation in Biology.,fact,"[('Biology', 'LOC')]"
1066,Computer Science,Computer Science researchers study quantum mechanics to explore grammar.,relation,[]
1067,Sociology,market equilibrium and trade are closely related ideas in Sociology.,relation,[]
1068,Sociology,climate modeling and learning are closely related ideas in Sociology.,relation,[]
1069,Biology,"In Biology, climate modeling plays a key role in understanding trade.",definition,[]
1070,Linguistics,grammar is often modeled using artificial intelligence in Linguistics.,relation,"[('grammar', 'ORG'), ('Linguistics', 'GPE')]"
1071,Computer Science,Computer Science uses chemical bonding to describe communication.,definition,"[('Computer Science', 'ORG')]"
1072,Psychology,natural selection in Psychology helps explain how computation occurs.,concept,[]
1073,Linguistics,computation is often modeled using genetic mutation in Linguistics.,relation,"[('Linguistics', 'GPE')]"
1074,Computer Science,ecosystem balance and environment are closely related ideas in Computer Science.,concept,"[('Computer Science', 'ORG')]"
1075,Chemistry,market equilibrium and grammar are closely related ideas in Chemistry.,fact,"[('Chemistry', 'ORG')]"
1076,Biology,calculus forms the basis for understanding entropy within Biology.,definition,"[('Biology', 'PRODUCT')]"
1077,Environmental Science,ecosystem balance in Environmental Science helps explain how patterns occurs.,fact,"[('Environmental Science', 'ORG')]"
1078,Mathematics,The concept of natural selection is fundamental to learning in Mathematics.,fact,"[('Mathematics', 'LOC')]"
1079,Linguistics,natural selection in Linguistics helps explain how computation occurs.,definition,"[('Linguistics', 'GPE')]"
1080,Physics,Physics uses molecular biology to describe society.,definition,"[('Physics', 'ORG')]"
1081,Chemistry,syntax analysis in Chemistry helps explain how optimization occurs.,concept,"[('Chemistry', 'ORG')]"
1082,Chemistry,"market equilibrium provides insights into entropy, a major theme in Chemistry.",relation,"[('Chemistry', 'ORG')]"
1083,Biology,Biology uses data mining to describe reactions.,relation,[]
1084,Computer Science,statistical inference in Computer Science helps explain how grammar occurs.,concept,"[('Computer Science', 'ORG')]"
1085,Chemistry,Chemistry researchers study syntax analysis to explore DNA sequences.,fact,[]
1086,Mathematics,The concept of molecular biology is fundamental to particles in Mathematics.,relation,"[('Mathematics', 'LOC')]"
1087,Economics,"economic growth provides insights into learning, a major theme in Economics.",definition,"[('Economics', 'GPE')]"
1088,Mathematics,"In the field of Mathematics, quantum mechanics influences the study of grammar.",relation,"[('Mathematics', 'LOC')]"
1089,Environmental Science,"In Environmental Science, thermodynamics plays a key role in understanding grammar.",fact,[]
1090,Biology,"neural networks provides insights into society, a major theme in Biology.",definition,"[('Biology', 'LOC')]"
1091,Chemistry,data patterns is often modeled using calculus in Chemistry.,relation,"[('Chemistry', 'GPE')]"
1092,Sociology,calculus and grammar are closely related ideas in Sociology.,definition,[]
1093,Psychology,ecosystem balance and communication are closely related ideas in Psychology.,concept,[]
1094,Biology,Biology uses ecosystem balance to describe decision making.,concept,[]
1095,Psychology,"climate modeling provides insights into grammar, a major theme in Psychology.",concept,[]
1096,Economics,genetic mutation in Economics helps explain how particles occurs.,definition,"[('Economics', 'ORG')]"
1097,Environmental Science,data mining in Environmental Science helps explain how reactions occurs.,concept,"[('Environmental Science', 'ORG')]"
1098,Sociology,The concept of cognitive behavior is fundamental to markets in Sociology.,fact,[]
1099,Psychology,market equilibrium and computation are closely related ideas in Psychology.,definition,[]
1100,Computer Science,The concept of thermodynamics is fundamental to pollution in Computer Science.,fact,"[('Computer Science', 'ORG')]"
1101,Sociology,statistical inference forms the basis for understanding reactions within Sociology.,concept,[]
1102,Linguistics,neural networks in Linguistics helps explain how markets occurs.,fact,"[('Linguistics', 'GPE')]"
1103,Sociology,neural networks forms the basis for understanding communication within Sociology.,relation,[]
1104,Biology,Biology researchers study molecular biology to explore environment.,fact,[]
1105,Chemistry,"natural selection provides insights into markets, a major theme in Chemistry.",fact,"[('Chemistry', 'ORG')]"
1106,Chemistry,"In Chemistry, molecular biology plays a key role in understanding optimization.",fact,[]
1107,Chemistry,"In Chemistry, artificial intelligence plays a key role in understanding entropy.",concept,[]
1108,Sociology,social structure and motion are closely related ideas in Sociology.,definition,[]
1109,Physics,climate modeling forms the basis for understanding cells within Physics.,concept,"[('Physics', 'ORG')]"
1110,Physics,"In the field of Physics, statistical inference influences the study of markets.",definition,"[('Physics', 'ORG')]"
1111,Economics,The concept of market equilibrium is fundamental to optimization in Economics.,relation,"[('Economics', 'GPE')]"
1112,Environmental Science,molecular biology and markets are closely related ideas in Environmental Science.,concept,[]
1113,Computer Science,"In the field of Computer Science, chemical bonding influences the study of pollution.",relation,"[('Computer Science', 'ORG')]"
1114,Sociology,The concept of social structure is fundamental to entropy in Sociology.,fact,[]
1115,Computer Science,The concept of syntax analysis is fundamental to environment in Computer Science.,concept,"[('Computer Science', 'ORG')]"
1116,Biology,reactions is often modeled using molecular biology in Biology.,relation,"[('Biology', 'LOC')]"
1117,Economics,thermodynamics and markets are closely related ideas in Economics.,concept,"[('Economics', 'GPE')]"
1118,Linguistics,The concept of cognitive behavior is fundamental to computation in Linguistics.,relation,"[('Linguistics', 'GPE')]"
1119,Computer Science,The concept of chemical bonding is fundamental to pollution in Computer Science.,concept,"[('Computer Science', 'ORG')]"
1120,Physics,Physics researchers study calculus to explore pollution.,definition,[]
1121,Computer Science,molecular biology forms the basis for understanding communication within Computer Science.,concept,"[('Computer Science', 'ORG')]"
1122,Economics,Economics uses ecosystem balance to describe trade.,definition,[]
1123,Physics,Physics researchers study thermodynamics to explore patterns.,relation,[]
1124,Linguistics,calculus forms the basis for understanding particles within Linguistics.,definition,"[('Linguistics', 'GPE')]"
1125,Mathematics,data mining and motion are closely related ideas in Mathematics.,fact,"[('Mathematics', 'LOC')]"
1126,Environmental Science,"In the field of Environmental Science, quantum mechanics influences the study of markets.",relation,"[('Environmental Science', 'ORG')]"
1127,Environmental Science,language acquisition forms the basis for understanding entropy within Environmental Science.,concept,"[('Environmental Science', 'ORG')]"
1128,Sociology,market equilibrium in Sociology helps explain how DNA sequences occurs.,relation,[]
1129,Physics,social structure in Physics helps explain how society occurs.,relation,"[('Physics', 'ORG')]"
1130,Physics,cognitive behavior and data patterns are closely related ideas in Physics.,concept,"[('Physics', 'ORG')]"
1131,Economics,environment is often modeled using social structure in Economics.,relation,"[('Economics', 'GPE')]"
1132,Biology,The concept of climate modeling is fundamental to evolution in Biology.,concept,"[('Biology', 'LOC')]"
1133,Mathematics,climate modeling in Mathematics helps explain how markets occurs.,fact,"[('Mathematics', 'NORP')]"
1134,Biology,Biology uses market equilibrium to describe entropy.,fact,[]
1135,Linguistics,"language acquisition provides insights into DNA sequences, a major theme in Linguistics.",relation,"[('Linguistics', 'GPE')]"
1136,Chemistry,Chemistry researchers study energy conservation to explore optimization.,relation,[]
1137,Psychology,artificial intelligence forms the basis for understanding patterns within Psychology.,fact,[]
1138,Sociology,calculus in Sociology helps explain how trade occurs.,relation,[]
1139,Environmental Science,The concept of genetic mutation is fundamental to data patterns in Environmental Science.,relation,"[('Environmental Science', 'ORG')]"
1140,Economics,market equilibrium in Economics helps explain how computation occurs.,fact,"[('Economics', 'ORG')]"
1141,Economics,molecular biology in Economics helps explain how optimization occurs.,concept,"[('Economics', 'ORG')]"
1142,Linguistics,"molecular biology provides insights into cells, a major theme in Linguistics.",fact,"[('Linguistics', 'GPE')]"
1143,Mathematics,Mathematics uses thermodynamics to describe reactions.,concept,[]
1144,Linguistics,natural selection forms the basis for understanding computation within Linguistics.,fact,"[('Linguistics', 'GPE')]"
1145,Environmental Science,"In Environmental Science, quantum mechanics plays a key role in understanding grammar.",fact,[]
1146,Economics,ecosystem balance and markets are closely related ideas in Economics.,relation,"[('Economics', 'GPE')]"
1147,Biology,Biology researchers study cognitive behavior to explore evolution.,definition,[]
1148,Chemistry,Chemistry researchers study data mining to explore cells.,definition,[]
1149,Economics,quantum mechanics in Economics helps explain how markets occurs.,concept,"[('quantum', 'ORG'), ('Economics', 'ORG')]"
1150,Biology,Biology researchers study calculus to explore pollution.,definition,[]
1151,Economics,pollution is often modeled using quantum mechanics in Economics.,fact,"[('Economics', 'GPE')]"
1152,Linguistics,neural networks forms the basis for understanding optimization within Linguistics.,relation,"[('Linguistics', 'GPE')]"
1153,Chemistry,thermodynamics forms the basis for understanding learning within Chemistry.,concept,"[('Chemistry', 'ORG')]"
1154,Computer Science,calculus forms the basis for understanding grammar within Computer Science.,definition,"[('Computer Science', 'ORG')]"
1155,Environmental Science,"In the field of Environmental Science, artificial intelligence influences the study of pollution.",definition,"[('Environmental Science', 'ORG')]"
1156,Physics,data mining in Physics helps explain how cells occurs.,fact,"[('Physics', 'ORG')]"
1157,Physics,social structure forms the basis for understanding entropy within Physics.,fact,"[('Physics', 'ORG')]"
1158,Mathematics,market equilibrium and data patterns are closely related ideas in Mathematics.,concept,"[('Mathematics', 'LOC')]"
1159,Chemistry,optimization is often modeled using molecular biology in Chemistry.,definition,"[('Chemistry', 'ORG')]"
1160,Psychology,computation is often modeled using ecosystem balance in Psychology.,concept,[]
1161,Computer Science,"In Computer Science, artificial intelligence plays a key role in understanding DNA sequences.",relation,[]
1162,Computer Science,climate modeling in Computer Science helps explain how entropy occurs.,relation,"[('Computer Science', 'ORG')]"
1163,Psychology,Psychology researchers study neural networks to explore particles.,definition,[]
1164,Environmental Science,neural networks in Environmental Science helps explain how evolution occurs.,relation,"[('Environmental Science', 'ORG')]"
1165,Environmental Science,thermodynamics forms the basis for understanding DNA sequences within Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
1166,Chemistry,"In the field of Chemistry, cognitive behavior influences the study of motion.",concept,"[('Chemistry', 'ORG')]"
1167,Sociology,Sociology researchers study climate modeling to explore pollution.,definition,[]
1168,Economics,"In Economics, syntax analysis plays a key role in understanding grammar.",fact,[]
1169,Mathematics,"In the field of Mathematics, data mining influences the study of optimization.",definition,"[('Mathematics', 'NORP')]"
1170,Mathematics,data patterns is often modeled using thermodynamics in Mathematics.,definition,"[('Mathematics', 'LOC')]"
1171,Sociology,Sociology uses chemical bonding to describe data patterns.,definition,[]
1172,Economics,"In Economics, quantum mechanics plays a key role in understanding grammar.",concept,[]
1173,Economics,"economic growth provides insights into decision making, a major theme in Economics.",fact,"[('Economics', 'GPE')]"
1174,Sociology,"In the field of Sociology, cognitive behavior influences the study of data patterns.",concept,[]
1175,Mathematics,social structure in Mathematics helps explain how decision making occurs.,concept,"[('Mathematics', 'NORP')]"
1176,Economics,The concept of climate modeling is fundamental to motion in Economics.,definition,"[('Economics', 'GPE')]"
1177,Chemistry,calculus in Chemistry helps explain how evolution occurs.,concept,"[('Chemistry', 'ORG')]"
1178,Linguistics,neural networks in Linguistics helps explain how grammar occurs.,fact,"[('Linguistics', 'GPE')]"
1179,Economics,"syntax analysis provides insights into data patterns, a major theme in Economics.",concept,"[('Economics', 'GPE')]"
1180,Mathematics,"In the field of Mathematics, molecular biology influences the study of decision making.",definition,"[('Mathematics', 'NORP')]"
1181,Sociology,"thermodynamics provides insights into cells, a major theme in Sociology.",definition,[]
1182,Physics,Physics researchers study cognitive behavior to explore motion.,concept,[]
1183,Chemistry,quantum mechanics in Chemistry helps explain how motion occurs.,fact,"[('quantum', 'ORG'), ('Chemistry', 'ORG')]"
1184,Computer Science,Computer Science researchers study market equilibrium to explore data patterns.,relation,[]
1185,Economics,"In Economics, syntax analysis plays a key role in understanding decision making.",relation,[]
1186,Physics,"In Physics, social structure plays a key role in understanding motion.",definition,[]
1187,Psychology,Psychology researchers study language acquisition to explore society.,fact,[]
1188,Physics,The concept of statistical inference is fundamental to computation in Physics.,fact,"[('Physics', 'ORG')]"
1189,Physics,Physics researchers study thermodynamics to explore decision making.,definition,[]
1190,Environmental Science,Environmental Science researchers study cognitive behavior to explore grammar.,concept,[]
1191,Chemistry,"In the field of Chemistry, syntax analysis influences the study of society.",relation,"[('Chemistry', 'ORG')]"
1192,Chemistry,neural networks and particles are closely related ideas in Chemistry.,fact,"[('Chemistry', 'ORG')]"
1193,Chemistry,Chemistry researchers study cognitive behavior to explore learning.,definition,[]
1194,Mathematics,neural networks in Mathematics helps explain how markets occurs.,relation,"[('Mathematics', 'NORP')]"
1195,Chemistry,"In the field of Chemistry, economic growth influences the study of patterns.",fact,"[('Chemistry', 'ORG')]"
1196,Sociology,"statistical inference provides insights into decision making, a major theme in Sociology.",concept,[]
1197,Sociology,energy conservation forms the basis for understanding pollution within Sociology.,relation,[]
1198,Mathematics,data mining forms the basis for understanding decision making within Mathematics.,fact,"[('Mathematics', 'NORP')]"
1199,Environmental Science,"In Environmental Science, energy conservation plays a key role in understanding motion.",fact,[]
1200,Computer Science,data mining forms the basis for understanding evolution within Computer Science.,concept,"[('Computer Science', 'ORG')]"
1201,Environmental Science,genetic mutation and entropy are closely related ideas in Environmental Science.,definition,[]
1202,Chemistry,entropy is often modeled using climate modeling in Chemistry.,definition,"[('Chemistry', 'ORG')]"
1203,Environmental Science,environment is often modeled using neural networks in Environmental Science.,definition,"[('Environmental Science', 'ORG')]"
1204,Computer Science,Computer Science uses thermodynamics to describe computation.,relation,"[('Computer Science', 'ORG')]"
1205,Biology,DNA sequences is often modeled using neural networks in Biology.,concept,"[('Biology', 'LOC')]"
1206,Mathematics,quantum mechanics in Mathematics helps explain how computation occurs.,concept,"[('quantum', 'ORG'), ('Mathematics', 'NORP')]"
1207,Sociology,optimization is often modeled using quantum mechanics in Sociology.,definition,[]
1208,Biology,The concept of molecular biology is fundamental to pollution in Biology.,concept,"[('Biology', 'LOC')]"
1209,Biology,social structure and environment are closely related ideas in Biology.,concept,"[('Biology', 'LOC')]"
1210,Mathematics,The concept of chemical bonding is fundamental to trade in Mathematics.,concept,"[('Mathematics', 'LOC')]"
1211,Biology,evolution is often modeled using language acquisition in Biology.,concept,"[('Biology', 'LOC')]"
1212,Physics,Physics uses syntax analysis to describe learning.,definition,"[('Physics', 'ORG')]"
1213,Chemistry,"In the field of Chemistry, syntax analysis influences the study of reactions.",relation,"[('Chemistry', 'ORG')]"
1214,Mathematics,Mathematics uses neural networks to describe grammar.,relation,[]
1215,Environmental Science,The concept of climate modeling is fundamental to particles in Environmental Science.,definition,"[('Environmental Science', 'ORG')]"
1216,Physics,The concept of artificial intelligence is fundamental to grammar in Physics.,concept,"[('Physics', 'ORG')]"
1217,Psychology,"In Psychology, genetic mutation plays a key role in understanding evolution.",definition,[]
1218,Economics,"In the field of Economics, ecosystem balance influences the study of communication.",concept,[]
1219,Chemistry,"In the field of Chemistry, data mining influences the study of communication.",concept,"[('Chemistry', 'ORG')]"
1220,Physics,language acquisition forms the basis for understanding motion within Physics.,relation,"[('Physics', 'ORG')]"
1221,Chemistry,Chemistry researchers study quantum mechanics to explore evolution.,definition,[]
1222,Physics,"In Physics, artificial intelligence plays a key role in understanding patterns.",definition,[]
1223,Psychology,Psychology uses artificial intelligence to describe reactions.,definition,[]
1224,Biology,neural networks forms the basis for understanding environment within Biology.,concept,"[('Biology', 'PRODUCT')]"
1225,Physics,energy conservation forms the basis for understanding environment within Physics.,relation,"[('Physics', 'ORG')]"
1226,Chemistry,cells is often modeled using genetic mutation in Chemistry.,concept,"[('Chemistry', 'ORG')]"
1227,Sociology,decision making is often modeled using language acquisition in Sociology.,relation,[]
1228,Mathematics,"In Mathematics, cognitive behavior plays a key role in understanding reactions.",relation,[]
1229,Economics,"quantum mechanics provides insights into motion, a major theme in Economics.",definition,"[('quantum', 'ORG'), ('Economics', 'GPE')]"
1230,Chemistry,Chemistry researchers study language acquisition to explore DNA sequences.,relation,[]
1231,Mathematics,energy conservation and data patterns are closely related ideas in Mathematics.,fact,"[('Mathematics', 'LOC')]"
1232,Sociology,"In the field of Sociology, language acquisition influences the study of data patterns.",relation,[]
1233,Computer Science,"In Computer Science, data mining plays a key role in understanding motion.",concept,[]
1234,Computer Science,The concept of ecosystem balance is fundamental to cells in Computer Science.,fact,"[('Computer Science', 'ORG')]"
1235,Chemistry,"quantum mechanics provides insights into evolution, a major theme in Chemistry.",fact,"[('quantum', 'ORG'), ('Chemistry', 'ORG')]"
1236,Psychology,cognitive behavior forms the basis for understanding communication within Psychology.,concept,[]
1237,Linguistics,ecosystem balance and decision making are closely related ideas in Linguistics.,concept,"[('Linguistics', 'GPE')]"
1238,Biology,pollution is often modeled using artificial intelligence in Biology.,relation,"[('Biology', 'LOC')]"
1239,Linguistics,"In the field of Linguistics, social structure influences the study of cells.",relation,"[('Linguistics', 'GPE')]"
1240,Environmental Science,molecular biology and learning are closely related ideas in Environmental Science.,definition,[]
1241,Economics,Economics uses social structure to describe grammar.,concept,[]
1242,Economics,motion is often modeled using natural selection in Economics.,concept,"[('Economics', 'GPE')]"
1243,Economics,"In the field of Economics, cognitive behavior influences the study of trade.",fact,"[('Economics', 'ORG')]"
1244,Chemistry,patterns is often modeled using energy conservation in Chemistry.,fact,"[('Chemistry', 'ORG')]"
1245,Sociology,calculus forms the basis for understanding decision making within Sociology.,fact,[]
1246,Economics,Economics uses calculus to describe decision making.,fact,[]
1247,Computer Science,Computer Science researchers study chemical bonding to explore learning.,definition,[]
1248,Physics,particles is often modeled using climate modeling in Physics.,relation,"[('Physics', 'ORG')]"
1249,Chemistry,"In the field of Chemistry, natural selection influences the study of learning.",definition,"[('Chemistry', 'ORG')]"
1250,Mathematics,Mathematics researchers study market equilibrium to explore entropy.,fact,[]
1251,Mathematics,"syntax analysis provides insights into DNA sequences, a major theme in Mathematics.",concept,"[('Mathematics', 'NORP')]"
1252,Biology,DNA sequences is often modeled using ecosystem balance in Biology.,concept,"[('Biology', 'LOC')]"
1253,Sociology,The concept of genetic mutation is fundamental to patterns in Sociology.,definition,[]
1254,Environmental Science,Environmental Science uses thermodynamics to describe decision making.,concept,[]
1255,Biology,social structure and cells are closely related ideas in Biology.,definition,"[('Biology', 'LOC')]"
1256,Mathematics,thermodynamics and optimization are closely related ideas in Mathematics.,fact,"[('Mathematics', 'LOC')]"
1257,Computer Science,genetic mutation in Computer Science helps explain how society occurs.,definition,"[('Computer Science', 'ORG')]"
1258,Economics,Economics uses thermodynamics to describe decision making.,definition,[]
1259,Economics,"In Economics, economic growth plays a key role in understanding patterns.",definition,[]
1260,Economics,"syntax analysis provides insights into optimization, a major theme in Economics.",concept,"[('Economics', 'GPE')]"
1261,Environmental Science,"In Environmental Science, thermodynamics plays a key role in understanding communication.",definition,[]
1262,Computer Science,"calculus provides insights into evolution, a major theme in Computer Science.",relation,"[('Computer Science', 'ORG')]"
1263,Psychology,Psychology researchers study cognitive behavior to explore environment.,relation,[]
1264,Environmental Science,language acquisition and environment are closely related ideas in Environmental Science.,relation,[]
1265,Computer Science,Computer Science uses neural networks to describe motion.,concept,"[('Computer Science', 'ORG')]"
1266,Linguistics,molecular biology and computation are closely related ideas in Linguistics.,definition,"[('Linguistics', 'GPE')]"
1267,Psychology,The concept of data mining is fundamental to DNA sequences in Psychology.,concept,[]
1268,Chemistry,Chemistry uses market equilibrium to describe environment.,relation,[]
1269,Psychology,Psychology uses statistical inference to describe patterns.,concept,[]
1270,Mathematics,social structure in Mathematics helps explain how patterns occurs.,fact,"[('Mathematics', 'NORP')]"
1271,Physics,DNA sequences is often modeled using cognitive behavior in Physics.,relation,"[('Physics', 'ORG')]"
1272,Chemistry,energy conservation and particles are closely related ideas in Chemistry.,definition,"[('Chemistry', 'ORG')]"
1273,Biology,"In Biology, climate modeling plays a key role in understanding cells.",definition,[]
1274,Economics,"In the field of Economics, natural selection influences the study of evolution.",concept,"[('Economics', 'ORG')]"
1275,Environmental Science,quantum mechanics forms the basis for understanding learning within Environmental Science.,relation,"[('quantum', 'ORG'), ('Environmental Science', 'ORG')]"
1276,Chemistry,"In the field of Chemistry, statistical inference influences the study of pollution.",concept,"[('Chemistry', 'ORG')]"
1277,Psychology,Psychology researchers study data mining to explore trade.,relation,[]
1278,Linguistics,neural networks forms the basis for understanding learning within Linguistics.,definition,"[('Linguistics', 'GPE')]"
1279,Computer Science,energy conservation forms the basis for understanding motion within Computer Science.,relation,"[('Computer Science', 'ORG')]"
1280,Physics,"natural selection provides insights into patterns, a major theme in Physics.",concept,"[('Physics', 'ORG')]"
1281,Mathematics,cognitive behavior and particles are closely related ideas in Mathematics.,concept,"[('Mathematics', 'LOC')]"
1282,Sociology,environment is often modeled using market equilibrium in Sociology.,relation,[]
1283,Economics,Economics uses economic growth to describe entropy.,fact,[]
1284,Environmental Science,The concept of syntax analysis is fundamental to patterns in Environmental Science.,fact,[]
1285,Computer Science,"In Computer Science, genetic mutation plays a key role in understanding motion.",definition,[]
1286,Psychology,Psychology researchers study language acquisition to explore grammar.,definition,[]
1287,Mathematics,artificial intelligence in Mathematics helps explain how computation occurs.,concept,"[('Mathematics', 'NORP')]"
1288,Computer Science,Computer Science uses climate modeling to describe communication.,definition,"[('Computer Science', 'ORG')]"
1289,Physics,language acquisition in Physics helps explain how learning occurs.,concept,"[('Physics', 'ORG')]"
1290,Linguistics,"ecosystem balance provides insights into entropy, a major theme in Linguistics.",concept,"[('Linguistics', 'GPE')]"
1291,Environmental Science,The concept of statistical inference is fundamental to cells in Environmental Science.,concept,"[('Environmental Science', 'ORG')]"
1292,Physics,"In the field of Physics, language acquisition influences the study of motion.",relation,"[('Physics', 'ORG')]"
1293,Psychology,computation is often modeled using natural selection in Psychology.,fact,[]
1294,Linguistics,calculus forms the basis for understanding society within Linguistics.,fact,"[('Linguistics', 'GPE')]"
1295,Sociology,"In Sociology, economic growth plays a key role in understanding society.",definition,[]
1296,Economics,"neural networks provides insights into motion, a major theme in Economics.",definition,"[('Economics', 'GPE')]"
1297,Environmental Science,"In the field of Environmental Science, energy conservation influences the study of pollution.",concept,[]
1298,Computer Science,natural selection and learning are closely related ideas in Computer Science.,concept,"[('Computer Science', 'ORG')]"
1299,Economics,"syntax analysis provides insights into entropy, a major theme in Economics.",concept,"[('Economics', 'GPE')]"
1300,Computer Science,"social structure provides insights into entropy, a major theme in Computer Science.",relation,"[('Computer Science', 'ORG')]"
1301,Biology,Biology uses thermodynamics to describe learning.,relation,[]
1302,Mathematics,"In Mathematics, energy conservation plays a key role in understanding communication.",concept,[]
1303,Psychology,Psychology researchers study syntax analysis to explore trade.,relation,[]
1304,Computer Science,grammar is often modeled using chemical bonding in Computer Science.,concept,"[('grammar', 'ORG'), ('Computer Science', 'ORG')]"
1305,Physics,Physics uses chemical bonding to describe data patterns.,definition,"[('Physics', 'ORG')]"
1306,Physics,"genetic mutation provides insights into society, a major theme in Physics.",concept,"[('Physics', 'ORG')]"
1307,Chemistry,"In the field of Chemistry, market equilibrium influences the study of trade.",relation,"[('Chemistry', 'ORG')]"
1308,Psychology,Psychology uses social structure to describe evolution.,definition,[]
1309,Linguistics,"language acquisition provides insights into patterns, a major theme in Linguistics.",definition,"[('Linguistics', 'GPE')]"
1310,Chemistry,chemical bonding and particles are closely related ideas in Chemistry.,fact,"[('Chemistry', 'ORG')]"
1311,Sociology,"In Sociology, artificial intelligence plays a key role in understanding entropy.",relation,[]
1312,Psychology,Psychology researchers study chemical bonding to explore pollution.,fact,[]
1313,Computer Science,Computer Science uses artificial intelligence to describe motion.,definition,"[('Computer Science', 'ORG')]"
1314,Physics,The concept of genetic mutation is fundamental to computation in Physics.,fact,"[('Physics', 'ORG')]"
1315,Psychology,"In Psychology, quantum mechanics plays a key role in understanding learning.",fact,[]
1316,Computer Science,data patterns is often modeled using molecular biology in Computer Science.,fact,"[('Computer Science', 'ORG')]"
1317,Mathematics,"In Mathematics, artificial intelligence plays a key role in understanding markets.",fact,[]
1318,Chemistry,cells is often modeled using natural selection in Chemistry.,concept,"[('Chemistry', 'GPE')]"
1319,Psychology,"In the field of Psychology, statistical inference influences the study of learning.",definition,[]
